ACK_ID,ROW_ORDER,PROVIDER_ELIGIBLE_NAME,PROVIDER_ELIGIBLE_EIN,PROVIDER_ELIGIBLE_US_ADDRESS1,PROVIDER_ELIGIBLE_US_ADDRESS2,PROVIDER_ELIGIBLE_US_CITY,PROVIDER_ELIGIBLE_US_STATE,PROVIDER_ELIGIBLE_US_ZIP,PROV_ELIGIBLE_FOREIGN_ADDRESS1,PROV_ELIGIBLE_FOREIGN_ADDRESS2,PROV_ELIGIBLE_FOREIGN_CITY,PROV_ELIGIBLE_FOREIGN_PROV_ST,PROV_ELIGIBLE_FOREIGN_CNTRY,PROV_ELIGIBLE_FOREIGN_POST_CD
"20150114100616P030060156609001",1,"PRINCIPAL LIFE INSURANCE COMPANY","420127290",,,,,,,,,,,
"20150114110301P030060260817001",1,"PRINCIPAL LIFE INSURANCE COMPANY","420127290",,,,,,,,,,,
"20150114114935P040061220177001",1,"JOHN HANCOCK LIFE INSURANCE CO","010233346",,,,,,,,,,,
"20150114154010P030010888029001",1,"CHARLES SCHWAB & COMPANY","016785352","111 EAST BROADWAY",,"SALT LAKE CITY","UT","84111",,,,,,
"20150115074035P040046001911001",1,"CHARLES SCHWAB & CO. INC. AND AFFIL","941737782",,,,,,,,,,,
"20150115074232P040062930017001",1,"CHARLES SCHWAB & CO. INC. AND AFFIL","941737782",,,,,,,,,,,
"20150115082352P040062979393001",1,"CAPITAL RESEARCH & MANAGEMENT CO.","951411037",,,,,,,,,,,
"20150115114011P040046343975001",1,"MATRIX FINANCIAL SOLUTIONS","201591048","700 17TH STREET, STE 300",,"DENVER","CO","80202",,,,,,
"20150115114011P040046343975001",2,"GIBRALTAR PRIVATE BANK & TRUST",,"450 E. LAS OLAS BLVD, SUITE 1220",,"FORT LAUDERDALE","FL","33301",,,,,,
"20150115114011P040046343975001",3,"AMERICAN CENTURY",,"P.O. BOX 419385",,"KANSAS CITY","MO","64441",,,,,,
"20150115114011P040046343975001",4,"AMERICAN FUNDS","951411037","3500 WISEMAN BOULEVARD",,"SAN ANTONIO","TX","78251",,,,,,
"20150115114011P040046343975001",5,"BLACKROCK FUNDS",,"55 EAST 52ND STREET",,"NEW YORK","NY","10055",,,,,,
"20150115114011P040046343975001",6,"OPPENHEIMER",,"TWO WORLD FINANCIAL CENTER",,"NEW YORK","NY","10281",,,,,,
"20150115114011P040046343975001",7,"PRUDENTIAL",,"100 MULBERRY ST","GATEWAY CENTER 3, 6TH FLOOR","NEWARK","NJ","07102",,,,,,
"20150115130137P040001281401001",1,"FIDELITY INVESTMENTS INSTITUTIONAL","042647786",,,,,,,,,,,
"20150115132146P030062498673001",1,"FIDELITY INVESTMENTS INSTITUTIONAL","042647786",,,,,,,,,,,
"20150115134946P040063438801001",1,"CHARLES SCHWAB & CO. INC. AND AFFIL","941737782",,,,,,,,,,,
"20150115144857P040046625223001",1,"PRINCIPAL LIFE INSURANCE COMPANY","420127290",,,,,,,,,,,
"20150115160617P030045479191001",1,"PRINCIPAL LIFE INSURANCE COMPANY","420127290",,,,,,,,,,,
"20150115162600P040046791271001",1,"TRANSAMERICA RETIREMENT SOLUTIONS","133689044",,,,,,,,,,,
"20150115162600P040046791271001",2,"CHARLES SCHWAB & CO., INC.","941737782",,,,,,,,,,,
"20150115230817P030011338285001",1,"PRINCIPAL LIFE INSURANCE COMPANY","420127290",,,,,,,,,,,
"20150117091138P030047953591001",1,"SCHWAB FUNDS","943106735",,,,,,,,,,,
"20150117091138P030047953591001",2,"AMERICAN FUNDS","951411037",,,,,,,,,,,
"20150117091138P030047953591001",3,"ARTISAN","391811840",,,,,,,,,,,
"20150117091138P030047953591001",4,"COLUMBIA","930577450",,,,,,,,,,,
"20150117091138P030047953591001",5,"DREYFUS","132614959",,,,,,,,,,,
"20150117091138P030047953591001",6,"YACKTMAN","363831621",,,,,,,,,,,
"20150117091138P030047953591001",7,"FIRST EAGLE","133392291",,,,,,,,,,,
"20150117091138P030047953591001",8,"FPA","043118452",,,,,,,,,,,
"20150117091138P030047953591001",9,"FRANKLIN TEMPLETON","132670991",,,,,,,,,,,
"20150117091138P030047953591001",10,"WELLS FARGO","410449260",,,,,,,,,,,
"20150117091138P030047953591001",11,"OAKMARK","043276558",,,,,,,,,,,
"20150117091138P030047953591001",12,"MATTHEWS ASIA FUNDS","943250972",,,,,,,,,,,
"20150117091138P030047953591001",13,"VANGUARD",,"P.O. BOX 2600",,"VALLEY FORGE","PA","19482",,,,,,
"20150117091138P030047953591001",14,"OPPENHEIMER","132527171",,,,,,,,,,,
"20150117091138P030047953591001",15,"OSTERWEIS","942871718",,,,,,,,,,,
"20150117091138P030047953591001",16,"T. ROWE PRICE","522264646",,,,,,,,,,,
"20150117091138P030047953591001",17,"MANAGERS FUNDS","061298481",,,,,,,,,,,
"20150117091138P030047953591001",18,"ALLIANZ FUNDS","330457728",,,,,,,,,,,
"20150117091138P030047953591001",19,"COHEN & STEERS","141904657",,,,,,,,,,,
"20150117091138P030047953591001",20,"HENNESSY","680377264",,,,,,,,,,,
"20150117091138P030047953591001",21,"INVESCO","582287224",,,,,,,,,,,
"20150117091138P030047953591001",22,"JANUS","431804048",,,,,,,,,,,
"20150117091138P030047953591001",23,"PROFUNDS","522035197",,,,,,,,,,,
"20150117091138P030047953591001",24,"TOCQUEVILLE","133549887",,,,,,,,,,,
"20150117091138P030047953591001",25,"CHARLES SCHWAB & CO., INC","941737782",,,,,,,,,,,
"20150121151646P030053724583001",1,"TIAA","131624203",,,,,,,,,,,
"20150122104947P030054971191001",1,"FIDELITY INVESTMENTS INSTITUTIONAL","042647786",,,,,,,,,,,
"20150123131541P040058248295001",1,"UBS GLOBAL ASSET MANAGEMENT","980186363",,,,,,,,,,,
"20150123131541P040058248295001",2,"PIMCO FUNDS","952632339",,,,,,,,,,,
"20150123131541P040058248295001",3,"MFS","042747644",,,,,,,,,,,
"20150123131541P040058248295001",4,"LORD ABBETT","135620131",,,,,,,,,,,
"20150123131541P040058248295001",5,"DREYFUS","135673135",,,,,,,,,,,
"20150123131541P040058248295001",6,"ARTISAN","391811840",,,,,,,,,,,
"20150123131541P040058248295001",7,"AMERICAN CENTURY INVESTMENTS","446006315",,,,,,,,,,,
"20150123131817P030015506813001",1,"UBS GLOBAL ASSET MANAGEMENT","980186363",,,,,,,,,,,
"20150123131817P030015506813001",2,"PIMCO FUNDS","952632339",,,,,,,,,,,
"20150123131817P030015506813001",3,"MFS","042747644",,,,,,,,,,,
"20150123131817P030015506813001",4,"LORD ABBETT","135620131",,,,,,,,,,,
"20150123131817P030015506813001",5,"DREYFUS","135673135",,,,,,,,,,,
"20150123131817P030015506813001",6,"ARTISAN","391811840",,,,,,,,,,,
"20150123131817P030015506813001",7,"AMERICAN CENTURY INVESTMENTS","446006315",,,,,,,,,,,
"20150123145950P040078882737001",1,"EDWARD JONES","430345811","201 PROGRESS PARKWAY","201 PROGRESS PARKWAY","MARYLAND HEIGHTS","MO","63043",,,,,,
"20150126112922P030060262615001",1,"FIDELITY INVESTMENTS INSTITUTIONAL","042647786",,,,,,,,,,,
"20150127002248P030084309905001",1,"UNION SECURITY INSURANCE COMPANY","810170040",,,,,,,,,,,
"20150127002337P030084311825001",1,"UNION SECURITY INSURANCE COMPANY","810170040",,,,,,,,,,,
"20150127112045P030061731511001",1,"TRANSAMERICA RETIREMENT SOLUTIONS","133689044",,,,,,,,,,,
"20150128105552P040018836765001",1,"FIFTH THIRD BANK RETIREMENT SERVICE","311051736","38 FOUNTAIN SQUARE PLAZA",,"CINCINNATI","OH","45263",,,,,,
"20150128105607P030062959655001",1,"FIFTH THIRD BANK RETIREMENT SERVICE","311051736","38 FOUNTAIN SQUARE PLAZA",,"CINCINNATI","OH","45263",,,,,,
"20150130101839P040067510551001",1,"PRINCIPAL LIFE INSURANCE COMPANY","420127290",,,,,,,,,,,
"20150130103051P040067527927001",1,"BURKE GROUP, LLC","800688755",,,,,,,,,,,
"20150130105217P030065619639001",1,"DAILYACCESS CORPORATION","631156117",,,,,,,,,,,
"20150130151715P030065976567001",1,"WELLS FARGO ADVISORS",,"66 WEST STREET","4TH FLOOR","PITTSFIELD","MA","01201",,,,,,
"20150130151715P030065976567001",2,"WELLS FARGO ADVISORS","341542819",,,,,,,,,,,
"20150130154448P040067981079001",1,"T ROWE PRICE",,"100 EAST PRATT STREET",,"BALTIMORE","MD","21202",,,,,,
"20150130154448P040067981079001",2,"VICTORY CAPITAL MANAGEMENT","132700161",,,,,,,,,,,
"20150130154448P040067981079001",3,"STATE STREET","041867445",,,,,,,,,,,
"20150130154448P040067981079001",4,"PHOENIX - VIRTUS",,"56 PROSPECT STREET","PO BOX 150480","HARTFORD","CT","06115",,,,,,
"20150130154448P040067981079001",5,"MFS FUND DISTRIBUTORS","042747644",,,,,,,,,,,
"20150130154448P040067981079001",6,"JANUS DISTRIBUTORS, LLC",,"151","DETROIT STREET","DENVER","CO","80206",,,,,,
"20150130154448P040067981079001",7,"FRED ALGER & COMPANY, INC","132510833",,,,,,,,,,,
"20150130154448P040067981079001",8,"FIDELITY DISTRIBUTORS CORP",,"500 SALEM STREET","MAIL ZONE O3N","SMITHFIELD","RI","02917",,,,,,
"20150130154448P040067981079001",9,"AMERICAN CENTURY INVESTMENT SERVICE","440640487",,,,,,,,,,,
"20150130154448P040067981079001",10,"ALLIANZ GLOBAL INVESTORS DISTRIBUTI",,"1345 AVENUE OF THE AMERICAS",,"NEW YORK","NY","10105",,,,,,
"20150130154748P030018571821001",1,"T ROWE PRICE",,"100 EAST PRATT STREET",,"BALTIMORE","MD","21202",,,,,,
"20150130154748P030018571821001",2,"VICTORY CAPITAL MANAGEMENT","132700161",,,,,,,,,,,
"20150130154748P030018571821001",3,"STATE STREET","041867445",,,,,,,,,,,
"20150130154748P030018571821001",4,"PHOENIX - VIRTUS",,"56 PROSPECT STREET","PO BOX 150480","HARTFORD","CT","06115",,,,,,
"20150130154748P030018571821001",5,"MFS FUND DISTRIBUTORS","042747644",,,,,,,,,,,
"20150130154748P030018571821001",6,"JANUS DISTRIBUTORS, LLC",,"151","DETROIT STREET","DENVER","CO","80206",,,,,,
"20150130154748P030018571821001",7,"FRED ALGER & COMPANY, INC","132510833",,,,,,,,,,,
"20150130154748P030018571821001",8,"FIDELITY DISTRIBUTORS CORP",,"500 SALEM STREET","MAIL ZONE O3N","SMITHFIELD","RI","02917",,,,,,
"20150130154748P030018571821001",9,"AMERICAN CENTURY INVESTMENT SERVICE","440640487",,,,,,,,,,,
"20150130154748P030018571821001",10,"ALLIANZ GLOBAL INVESTORS DISTRIBUTI",,"1345 AVENUE OF THE AMERICAS",,"NEW YORK","NY","10105",,,,,,
"20150203123158P040073482263001",1,"FIDELITY INVESTMENTS INSTITUTIONAL","042647786",,,,,,,,,,,
"20150203135156P040099398449001",1,"JOHNSON CITY INSURANCE",,"3201 BRISTOL HWY",,"JOHNSON CITY","TN","37601",,,,,,
"20150203135311P040099400769001",1,"JOHNSON CITY INSURANCE",,"3201 BRISTOL HWY",,"JOHNSON CITY","TN","37601",,,,,,
"20150203135344P040099401905001",1,"SAMUEL C. EAST",,"PO BOX 5296",,"KINGSPORT","TN","37663",,,,,,
"20150203135422P040099403377001",1,"SAMUEL C. EAST",,"PO BOX 5296",,"KINGSPORT","TN","37663",,,,,,
"20150203135446P040099404209001",1,"SAMUEL C. EAST",,"PO BOX 5296",,"KINGSPORT","TN","37663",,,,,,
"20150203135509P040099405281001",1,"SAMUEL C. EAST",,"PO BOX 5296",,"KINGSPORT","TN","37663",,,,,,
"20150203135543P040099406561001",1,"SAMUEL C. EAST",,"PO BOX 5296",,"KINGSPORT","TN","37663",,,,,,
"20150203135604P030099541057001",1,"SAMUEL C EAST",,"PO BOX 5296",,"KINGSPORT","TN","37663",,,,,,
"20150203135623P040021936157001",1,"SAMUEL C EAST",,"PO BOX 5296",,"KINGSPORT","TN","37663",,,,,,
"20150204140624P030021156445002",1,"OPPENHEIMERFUNDS","132527171",,,,,,,,,,,
"20150205102500P040076670039001",1,"PREFERREDONE ADMINISTRATIVE SERVICE","411846481","6105 GOLDEN HILLS DRIVE",,"GOLDEN VALLEY","MN","55416",,,,,,
"20150205103413P040102987985001",1,"PRINCIPAL LIFE INSURANCE COMPANY","420127290",,,,,,,,,,,
"20150205140904P040077017735001",1,"DIVERSIFIED RETIREMENT CORPORATION","133689044",,,,,,,,,,,
"20150205140904P040077017735001",2,"CHARLES SCHWAB & CO., INC","941737782",,,,,,,,,,,
"20150206105952P040078361959001",1,"FIDELITY INVESTMENTS INSTITUTIONAL","042647786",,,,,,,,,,,
"20150206111142P040078386775001",1,"PRINCIPAL LIFE INSURANCE COMPANY","420127290",,,,,,,,,,,
"20150206154341P030021701613001",1,"PRINCIPAL LIFE INSURANCE COMPANY","420127290",,,,,,,,,,,
"20150206172019P040078821863001",1,"TIAA","131624203",,,,,,,,,,,
"20150209083758P030022693629001",1,"JOHN HANCOCK LIFE INSURANCE COMPANY","010233346",,,,,,,,,,,
"20150210091615P030079678199001",1,"WELLS FARGO BANK, N.A","941347393",,,,,,,,,,,
"20150210100721P040084297351001",1,"PRUDENTIAL RETIREMENT INSURANCE AND","061050034",,,,,,,,,,,
"20150210125340P040084438471001",1,"DELTA DENTAL OF IDAHO","820299431","PO BOX 2870",,"BOISE","ID","83701",,,,,,
"20150210125340P040084438471001",2,"BLUE CROSS OF IDAHO HEALTH SERVICE","820344294","3000 EAST PINE AVENUE",,"MERIDIAN","ID","83642",,,,,,
"20150210125354P040084438519001",1,"REGENCE LIFE AND HEALTH INSURANCE","936030398","200 SW MARKET STREET SUITE A",,"PORTLAND","OR","97201",,,,,,
"20150210125354P040084438519001",2,"DELTA DENTAL OF IDAHO","820299431","PO BOX 2870",,"BOISE","ID","83701",,,,,,
"20150210125354P040084438519001",3,"BLUE CROSS OF IDAHO HEALTH SERVICE","820344294","3000 EAST PINE AVENUE",,"MERIDIAN","ID","83642",,,,,,
"20150210125406P040084438567001",1,"REGENCE LIFE AND HEALTH INSURANCE C","936030398","200 SW MARKET STREET SUITE A",,"PORTLAND","OR","97201",,,,,,
"20150210125406P040084438567001",2,"VISION SERVICE PLAN","820339119","3333 QUALITY DRIVE",,"RANCHO CORDOVA","CA","95670",,,,,,
"20150210125406P040084438567001",3,"DELTA DENTAL OF IDAHO","820299431","PO BOX 2870",,"BOISE","ID","83701",,,,,,
"20150210125406P040084438567001",4,"BLUE CROSS OF IDAHO HEALTH SERVICE","820344294","3000 EAST PINE AVENUE",,"MERIDIAN","ID","83642",,,,,,
"20150210134158P030079922407001",1,"LIFEMAP ASSURANCE COMPANY","936030398","PO BOX 1271 MS E3A",,"PORTLAND","OR","97207",,,,,,
"20150210134158P030079922407001",2,"VISION SERVICE PLAN","820339119","3333 QUALITY DRIVE",,"RANCHO CORDOVA","CA","95670",,,,,,
"20150210134158P030079922407001",3,"DELTA DENTAL OF IDAHO","820299431","PO BOX 2870",,"BOISE","ID","83701",,,,,,
"20150210134158P030079922407001",4,"BLUE CROSS OF IDAHO HEALTH SERVICE","820344294","3000 EAST PINE AVENUE",,"MERIDIAN","ID","83642",,,,,,
"20150210135542P040025184973001",1,"FIDELITY INVESTMENTS INSTITUTIONAL","042647786",,,,,,,,,,,
"20150210182922P030113704129001",1,"CAPITAL RESEARCH & MANAGEMENT CO.","951411037",,,,,,,,,,,
"20150211070445P040085562919001",1,"THE NORTHERN TRUST COMPANY","361561860","50 SOUTH LASALLE STREET",,"CHICAGO","IL","60603",,,,,,
"20150211103857P030115129457001",1,"FIDELITY INVESTMENTS INSTITUTIONAL","042647786",,,,,,,,,,,
"20150211135612P030081587287001",1,"PRUDENTIAL RETIREMENT INSURANCE AND","061050034",,,,,,,,,,,
"20150212152914P040115940737001",1,"ALLIANZ GLOBAL INVESTORS DISTRIBUTO",,"1345 AVENUE OF THE AMERICAS",,"NEW YORK","NY","10105",,,,,,
"20150212152914P040115940737001",2,"BLACKROCK INVESTMENTS, INC.","232784752",,,,,,,,,,,
"20150212152914P040115940737001",3,"COLUMBIA",,"ONE FINANCIAL CENTER","MA5-515-14-01","BOSTON","MA","02111",,,,,,
"20150212152914P040115940737001",4,"DAVIS DISTRIBUTORS, LLC","850360310",,,,,,,,,,,
"20150212152914P040115940737001",5,"DELAWARE INVESTMENTS",,"2005 MARKET STREET",,"PHILADELPHIA","PA","19103",,,,,,
"20150212152914P040115940737001",6,"FEDERATED SECURITIES CORP.",,"5800 CORPORATE DRIVE","2ND FLOOR","PITTSBURGH","PA","15237",,,,,,
"20150212152914P040115940737001",7,"FRANKLIN TEMPLETON DISTRIBUTORS, IN",,"100 FOUNTAIN PARKWAY",,"ST. PETERSBURG","FL","33716",,,,,,
"20150212152914P040115940737001",8,"FRED ALGER & COMPANY, INCORPORATED","132510833",,,,,,,,,,,
"20150212152914P040115940737001",9,"GOLDMAN SACHS",,"71 SOUTH WACKER DRIVE","SUITE 500","CHICAGO","IL","60606",,,,,,
"20150212152914P040115940737001",10,"HOTCHKIS AND WILEY CAPITAL MANAGEME",,"725 S. FIGUEROA STREET","39TH FLOOR","LOS ANGELES","CA","90017",,,,,,
"20150212152914P040115940737001",11,"JANUS DISTRIBUTORS, LLC",,"151 DETROIT STREET",,"DENVER","CO","80206",,,,,,
"20150212152914P040115940737001",12,"LORD ABBETT DISTRIBUTOR, LLC",,"90 HUDSON STREET",,"JERSEY CITY","NJ","07032",,,,,,
"20150212152914P040115940737001",13,"MFS FUND DISTRIBUTORS, INC.","042747644",,,,,,,,,,,
"20150212152914P040115940737001",14,"OPPENHEIMER FUNDS INC.","132527171",,,,,,,,,,,
"20150212152914P040115940737001",15,"PIONEER INVESTMENT MANAGEMENT, INC","131961193",,,,,,,,,,,
"20150212152914P040115940737001",16,"THORNBURG SECURITIES CORPORATION",,"2300 NORTH RIDGETOP RD.",,"SANTA FE","NM","87506",,,,,,
"20150213072028P040026357325001",1,"FIDELITY INVESTMENTS INSTITUTIONAL","042647786",,,,,,,,,,,
"20150213083201P040026415245001",1,"JOHN HANCOCK LIFE INSURANCE CO.","010233346","RETIREMENT PLAN SERVICES, ET9","P.O. BOX 600","BUFFALO","NY","142010600",,,,,,
"20150213083201P040026415245001",2,"NOVA 401(K) ASSOCIATES","201181458","10777 NORTHWEST FREEWAY","SUITE 440","HOUSTON","TX","77092",,,,,,
"20150213094823P040026423389001",1,"LINCOLN NATIONAL CORPORATION","351140070",,,,,,,,,,,
"20150213115308P040088772119001",1,"TIAA","131624203",,,,,,,,,,,
"20150213115504P030002023433001",1,"TEACHERS INS. & ANNUITY ASSOCIATION","131624203",,,,,,,,,,,
"20150213130626P040026533325001",1,"FIDELITY INVESTMENTS INSTITUTIONAL","042647786",,,,,,,,,,,
"20150213141254P040088897607001",1,"PRUDENTIAL RETIREMENT INSURANCE AND","061050034",,,,,,,,,,,
"20150213141437P030084207303002",1,"TRANSAMERICA FINANCIAL LIFE INS","366071399",,,,,,,,,,,
"20150213155706P040117904737001",1,"FIDELITY INVESTMENTS INSTITUTIONAL","042647786",,,,,,,,,,,
"20150216105640P030025262653001",1,"MASSACHUSETTS MUTUAL LIFE INS CO","041590850",,,,,,,,,,,
"20150216112519P040122833249001",1,"FIDELITY INVESTMENTS INSTITUTIONAL","042647786",,,,,,,,,,,
"20150216131827P030088089079001",1,"T. ROWE PRICE ASSOCIATES, INC",,"100 EAST PRATT STREET",,"BALTIMORE","MD","21202",,,,,,
"20150216131827P030088089079001",2,"PIMCO",,"840 NEWPORT CENTER DRIVE",,"NEWPORT BEACH","CA","92660",,,,,,
"20150216131827P030088089079001",3,"CAPITAL RESEARCH AND MANAGEMENT",,"333 SOUTH HOPE STREET",,"LOS ANGELES","CA","90071",,,,,,
"20150216131827P030088089079001",4,"CALVERT INVESTMENT MANAGEMENT",,"4550 MONTGOMERY AVENUE","SUITE 100N","BETHESDA","MD","20814",,,,,,
