,trade_nm,legal_name,street_addr_1_txt,cty_nm,st_cd,zip_cd,nname,nzip,snum,rating,lat,lon,stnum
2168,H & P Capital,"H&P Capital, Inc.",7960 Baymeadows Way,Jacksonville,FL,32256.0,h & p capital,32256,7960,0.0,-81.5860388739,30.2358420228,7960.0
2169,Air Rescue,"Air Rescue Air Conditioning, Inc.",1429 Massaro Blvd.,Tampa,FL,33619.0,air rescue,33619,1429,0.0,-82.3623455928,27.9569559917,1429.0
2170,Coast Dental,Coast Dental Services Inc &  Coast Florida PA,5021 NW 34th St.,Gainesville,FL,32605.0,coast dental,32605,5021,5.0,-82.3716025245,29.6985348908,4899.0
2171,"Fantasy Funware, Inc.","Fanatasy Funware of PCB, Inc.",10015 Front Beach Road,Panama City Beach,FL,32407.0,fantasy funware inc,32407,10015,0.0,-85.8007003432,30.178196064,10015.0
2172,American Water,"American Water Services Group, LLC",7303 Plantation Road,Pensacola,FL,32504.0,american water,32504,7303,9.0,-87.2279585332,30.496212342,7303.0
2173,Chipley Physical & Aquatic Therapy,"Chipley Physical Therapy, Inc.","1414 Main Street, Suite 3A",Chipley,FL,32428.0,chipley physical & aquatic therapy,32428,1414,0.0,-85.5442437664,30.7622509733,1414.0
2174,Chick-Fil-A,Chick-Fil-A Santa Rosa Mall,"300 Mary Esther Blvd, Unit 265",Mary Esther,FL,32569.0,chick-fil-a,32569,300,0.0,-86.6541078045,30.4156421601,300.0
2175,Staying Alive Fitness Center,"I'M A BODY EXERCISE STUDIO, INC.",6185 Jog Road,Lake Worth,FL,33467.0,staying alive fitness center,33467,6185,15.0,-80.1464703621,26.6260748185,3463.0
2176,"Solution Construction, Inc.",Solution Construction inc,7955 NW 12 Street,Miami,FL,33126.0,solution construction inc,33126,7955,25.0,-80.3249178884,25.7827061103,7955.0
2177,Lynx Global,Lynx Global Corp.,1480 NW 94th Avenue,Miami,FL,33172.0,lynx global,33172,1480,5.0,-80.3477891411,25.7883493786,1480.0
2178,"Toby's Concession Services, Inc","Toby's Concession Services, Inc",10811 NW 29 st,Miami,FL,33172.0,tobys concession services inc,33172,10811,25.0,-80.3712131054,25.8006654824,10811.0
2179,First Steps Learning Center Inc.,First Steps Learning Center Inc.,735 Orange Avenue,Fort Pierce,FL,34950.0,first steps learning center inc,34950,735,0.0,-80.3307070536,27.4468717464,735.0
2180,Star Intermodal,"STAR INTERMODAL TRANSPORTATION, INC.",967 Martin Ave,Green Cove Springs,FL,32043.0,star intermodal,32043,967,0.0,-81.6590075726,29.9810012447,967.0
2181,Nekton Diving Cruises LLC,"Loggerhead Holdings, Inc.",520 SE 32nd Street,Fort Lauderdale,FL,33316.0,nekton diving cruises llc,33316,520,0.0,-80.137462297,26.0852576891,520.0
2182,Heron Lawn & Pest Control,"Heron Lawn & Pest Control, Inc.",2114 S. Orange Blossom Trail,Apopka,FL,32703.0,heron lawn & pest control,32703,2114,6.0,-81.4702903642,28.6546034343,1598.0
2183,Golden Corral,"V & M Food Enterprises, Inc",389 Winchester Park Blvd.,Boynton Beach,FL,33436.0,golden corral,33436,389,0.0,-80.0937444073,26.5287725697,389.0
2184,"All About Water & Solar, LLC","All About Water & Solar, LLC",2501 North Main Street,Leesburg,FL,34748.0,all about water & solar llc,34748,2501,2.0,-81.9053392913,28.8130418867,2501.0
2185,Gruenthal Construction & Development Corp,Gruenthal Construction & Development Corp,200 Lindell Blvd,Delray Beach,FL,33483.0,gruenthal construction & development corp,33483,200,5.0,-80.0739306927,26.4251324714,201.0
2186,"Truevance Management, Inc.","Truevance Management, Inc.",7666 Blanding Blvd,Jacksonville,FL,32244.0,truevance management inc,32244,7666,0.0,-81.7394749468,30.2069739648,7666.0
2187,Boars Head Lounge,"Koul-J, LLC",6543 Gateway Ave.,Sarasota,FL,34231.0,boars head lounge,34231,6543,14.0,-82.516320388,27.2608671989,6543.0
2188,"Citi Pizza,. Inc","Citi Pizza, Inc",6824 NW 169 St,Hialeah,FL,33015.0,citi pizza inc,33015,6824,20.0,-80.3123311064,25.9259428389,6824.0
2189,Cardiovascular Diagnostic Image,Cardiovascular Diagnostic Image Inc,11140 N. Kendall Drive Ste 100,Miami,FL,33176.0,cardiovascular diagnostic image,33176,11140,12.0,-80.3411376968,25.6876922275,8998.0
2190,Deluxe General Contractors,Deluxe G.C. LLC,4924 Randee Cr.,Pensacola,FL,32526.0,deluxe general contractors,32526,4924,18.0,-87.3100213979,30.4591272128,4924.0
2191,"Allied Medical Transport, Inc.","Allied Medical Transportation, Inc.",4620 N. State Road 7,Lauderdale Lakes,FL,33319.0,allied medical transport inc,33319,4620,42.0,-80.2035094099,26.1815326795,4620.0
2192,Tonneson Auto Assist,"Tonneson Karriers, Inc.",4735 SW Orange Drive,Fort Lauderdale,FL,33314.0,tonneson auto assist,33314,4735,17.0,-80.2114178625,26.066452402,4735.0
2193,Boon Docks Restaurant,"Boondocks Restaurant, Inc.",14854 Bay View Circle,Panama City Beach,FL,32413.0,boon docks restaurant,32413,14854,0.0,-85.8594692273,30.2924478766,14854.0
2194,"Quality Stay 4 Less Pay, Inc.","Quality Stay 4 Less Pay, Inc.",10615 W. Newberry Road,Gainesville,FL,32606.0,quality stay 4 less pay inc,32606,10615,0.0,-82.4422433023,29.6599021694,10615.0
2195,Extreme Wings,"Extreme Wings, LLC",2410 West Pensacola Street,Tallahassee,FL,32304.0,extreme wings,32304,2410,0.0,-84.3260300913,30.441100301,2410.0
2196,Cash Register Systems,"Cash Register Systems, Inc",12216 Panama City Beach Pkwy,Panama City,FL,32407.0,cash register systems,32407,12216,8.0,-85.8326425049,30.2053845511,12127.0
2197,Sandcastle Designer Home Furniture,Hanna's Sandcastle Designs Inc,10745 Emerald Coast Pkwy,Miramar Beach,FL,32550.0,sandcastle designer home furniture,32550,10745,2.0,-86.3540954185,30.379432643,10745.0
2198,Taylors Building Supply,"Taylor's Building Supply, Inc.",268 US Hwy 98,Eastpoint,FL,32328.0,taylors building supply,32328,268,30.0,-84.8843076788,29.7362984086,268.0
2199,Club Sun Tanning Salon,"Sun Sack, Inc.",1809 South Highway 77,Lynn Haven,FL,32444.0,club sun tanning salon,32444,1809,17.0,-85.6488219901,30.2315679049,1809.0
2200,JJ's Gas N Grill,"JJ Gas and Grill, Inc.",904 S. Jefferson,Perry,FL,32348.0,jjs gas n grill,32348,904,10.0,-83.5819962798,30.1115459183,904.0
2201,Rotech,Rotech Healthcare Inc.,1122 E. Wade Street,Trenton,FL,32693.0,rotech,32693,1122,0.0,-82.8109202857,29.613325549,1122.0
2202,Thirty Degree Blue,"Thirty Degree Blue, LLC",4200 Marriot,Panama City,FL,32408.0,thirty degree blue,32408,4200,35.0,-85.7243786094,30.1403291425,4200.0
2203,Sleep Inn Hotel,Vivek and Jay Corporation,10775 W Emerald Coast Pkwy,Miramar Beach,FL,32550.0,sleep inn hotel,32550,10775,4.0,-86.3552490312,30.3800879564,10775.0
2204,Kingdom Kids,"Kingdom Kids Zone, Inc.",1606 NW 22nd Ave.,Ocala,FL,34470.0,kingdom kids,34470,1606,2.0,-82.1075358284,29.2027703702,1606.0
2205,Beilling Site Prep and Reforestation,Beilling Site Prep and Reforestation,6074 W. SR 238,Lake Butler,FL,32054.0,beilling site prep and reforestation,32054,6074,86.0,-82.6118638489,30.1882205779,98.0
2206,Nassau County Property Appraiser's Office,Nassau County,"96135 Nassau Place, Suite 4",Yulee,FL,32097.0,nassau county property appraisers office,32097,96135,82.0,-81.5431381111,30.626305483,96100.0
2207,Besta One Italian Grille,"Besta One, LLC",13103 Cortez Blvd.,Brooksville,FL,34613.0,besta one italian grille,34613,13103,10.0,-82.5115491481,28.5334465137,13100.0
2208,Leal Harvesting & Hauling,"Leal Harvesting & hauling, inc.",5210 Lake Lane,Immokalee,FL,34142.0,leal harvesting & hauling,34142,5210,0.0,-81.4774366567,26.4280129922,5210.0
2209,Gilberto Sierra,"Gilberto Sierra, FLC",335 North 11th Street,Immokalee,FL,34142.0,gilberto sierra,34142,335,0.0,-81.4297239632,26.423213929,335.0
2210,Collier Pacific Grower,Collier Pacific Growers Partnership,925 New Harvest Road,Immokalee,FL,34142.0,collier pacific grower,34142,925,0.0,-81.404560741,26.4153346521,925.0
2211,"Francisca T. Cortez, FLC",Francisca T. Cortez,712 Escambia Street,Immokalee,FL,34142.0,francisca t cortez flc,34142,712,0.0,-81.4204261925,26.4282438481,712.0
2212,Senor Loco Mexican Restaurant,Senor Loco's Inc,2680 Gulf to Bay Blvd.,Clearwater,FL,33759.0,senor loco mexican restaurant,33759,2680,0.0,-82.7267604438,27.9606492356,2680.0
2213,Keene Bros Inc.,Keene Bros Inc.,4946 Land O'Lakes Blvd,Land O Lakes,FL,34639.0,keene bros inc,34639,4946,11.0,-82.4583118313,28.2307030463,4946.0
2214,"Sign Systems, LLC",FASTSIGNS,7080 W State Road 84,Fort Lauderdale,FL,33317.0,sign systems llc,33317,7080,60.0,-80.2305246053,26.0936884936,6598.0
2215,Juiceblendz,B & N Investment of Broward County Inc.,518 N. Pine Island Rd,Fort Lauderdale,FL,33324.0,juiceblendz,33324,518,15.0,-80.2626691689,26.1276105669,518.0
2216,Auto Lab Complete Car Care Center,"Automotive Empire, LLC",320 Northeast 44th Street,Fort Lauderdale,FL,33334.0,auto lab complete car care center,33334,320,17.0,-80.1391115234,26.181448251,500.0
2217,G.W. Sharkeys Raw Bar & Grill,"Chickies Club South, Inc.",2388 N. University Drive,Coral Springs,FL,33065.0,gw sharkeys raw bar & grill,33065,2388,2.0,-80.249816391,26.2605645305,2301.0
2218,Imperial Press Direct,"Imperial Distributing, Inc.",410 South Ware Boulevard,Clair Mel,FL,33619.0,imperial press direct,33619,410,10.0,-82.3472966991,27.9474523849,410.0
2219,"Eco Solar, Inc.","Eco Technologies, Inc.",2101 47th St,Sarasota,FL,34234.0,eco solar inc,34234,2101,6.0,-82.5304139029,27.3749302396,2101.0
2220,Aquatic Plant Management,"Aquatic Plant Management, Inc",125 Detjens Dairy Rd,Venus,FL,33960.0,aquatic plant management,33960,125,14.0,-81.3509503499,27.0318460946,125.0
2221,The Arc of Alachua County,Association of Retarded Citizens of Alachua,3303 NW 83rd Street,Gainesville,FL,32606.0,the arc of alachua county,32606,3303,0.0,-82.430197743,29.6824624817,3303.0
2222,Chicago Pizza & Sports Grille,"Chicago Pizza & Sports Grille II, Inc.",2 Independence Drive,Jacksonville,FL,32202.0,chicago pizza & sports grille,32202,2,20.0,-81.6610501197,30.3252276251,2.0
2223,Florida Pharmacy,Florida Pharmacy Inc.,5366 West 12th Avenue,Hialeah,FL,33012.0,florida pharmacy,33012,5366,0.0,-80.3070914729,25.8711508438,5366.0
2224,Marian Center School and Services,Marian Center School and Services Inc.,15701 NW 37th Avenue,Miami Gardens,FL,33054.0,marian center school and services,33054,15701,0.0,-80.2603541522,25.9205976495,15701.0
2225,Goodwill,"Goodwill Industries of South Florida, Inc.",2104 West Commercial Blvd,Fort Lauderdale,FL,33309.0,goodwill,33309,2104,0.0,-80.171223031,26.1879967016,2104.0
2226,United Cerebral Palsy of Miami,"UNITED CEREBRAL PALSY ASSOCIATION OF MIAMI, I",1411 NW 14th Avenue,Miami,FL,33125.0,united cerebral palsy of miami,33125,1411,0.0,-80.2188190945,25.7876172142,1411.0
2227,Car Wash Cafe,Car Wash Cafe L.L.C.,3050 N. University Drive,Sunrise,FL,33322.0,car wash cafe,33322,3050,0.0,-80.2566203842,26.1640575498,3050.0
2228,"Hang On Systems, Inc.","Hang On Systems, Inc.",1001 NW 62 St,Fort Lauderdale,FL,33309.0,hang on systems inc,33309,1001,20.0,-80.1578757413,26.2033212251,1001.0
2229,Colony Springs Medical Center,"Colony Springs Medical Center, Inc.","7737 N University Drive, Suite 107",Tamarac,FL,33321.0,colony springs medical center,33321,7737,0.0,-80.2526227467,26.2178163265,7737.0
2230,"Coast to Coast General Contractors, Inc.","Coast to Coast General Contractors, Inc.",613 South 21 Avenue,Hollywood,FL,33020.0,coast to coast general contractors inc,33020,613,25.0,-80.2117410794,26.0153158556,613.0
2231,Millennium Grounds & Waters,"Begley's Cleaning Service, Inc.",534 S. Dillard Street,Winter Garden,FL,34787.0,millennium grounds & waters,34787,534,0.0,-81.5836576014,28.5589718675,534.0
2232,7-11 Stores,Southland Corporation,7603 West Colonial Drive,Orlando,FL,32818.0,7-11 stores,32818,7603,10.0,-81.4872935037,28.5521498515,7603.0
2233,Wacko's Bar & Grill,"Wacko's Too, Inc",3701 Emerson Street,Jacksonville,FL,32207.0,wackos bar & grill,32207,3701,0.0,-81.6278739942,30.2912836818,3701.0
2234,Texaco Xpress Lube 1072,"North Florida Lubes, Inc.",1555 Dunn Avenue,Jacksonville,FL,32218.0,texaco xpress lube 1072,32218,1555,0.0,-81.6724792933,30.4303313854,1555.0
2235,Sol US Tanning,"Sol US Tanning Phase V, Inc",2219 County Road 220,Middleburg,FL,32068.0,sol us tanning,32068,2219,25.0,-81.757715251,30.1003149861,2219.0
2236,"Eldoraldo Real Estate, Inc.","Eldorado Real Estate, Inc.",213 E. Main St.,Dundee,FL,33838.0,eldoraldo real estate inc,33838,213,0.0,-81.6194337679,28.0224077678,213.0
2237,"Bridges BTC, Inc","Bridges BTC, Inc",1694 Cedar Street,Rockledge,FL,32955.0,bridges btc inc,32955,1694,0.0,-80.7378445242,28.3289157719,1694.0
2238,A Premium Painter,"A Premium Painter.com, Inc.",9425 SE Federal Highway,Hobe Sound,FL,33455.0,a premium painter,33455,9425,0.0,-80.1507579452,27.0879571426,9425.0
2239,"Gravity-Ratterman, LLC","Gravity-Ratterman, LLC",2203 N Lois Avenue Suite G-200,Tampa,FL,33607.0,gravity-ratterman llc,33607,2203,0.0,-82.5136696686,27.9612465284,2203.0
2240,Padre Pio Adult Congregate Living Facility,"PADRE PIO ADULT CONGREGATE LIVING FACILITY, I",403 NW Boulevard,Miami,FL,33126.0,padre pio adult congregate living facility,33126,403,22.0,-81.5959143498,28.1648752671,403.0
2241,Consolidated Citrus Limited Partnership-AGER,Consolidated Citrus Limited Partnership,"4210 Metro Parkway, #250",Fort Myers,FL,33916.0,consolidated citrus limited partnership-ager,33916,4210,0.0,-81.8505742909,26.6026371853,4210.0
2242,"Innovative Health Products, Inc.","GEOPHARMA, Inc.",6950 Bryan Dairy Road,Seminole,FL,33777.0,innovative health products inc,33777,6950,12.0,-82.7350802584,27.8719547802,6950.0
2243,Boizao Steakhouse,"BZO I, LLC",4606 Boy Scout Boulevard,Tampa,FL,33607.0,boizao steakhouse,33607,4606,7.0,-82.516648097,27.9621294169,4398.0
2244,Metro Pcs,Hi Tec Wireless,105 N. Lake Shore Way,Lake Alfred,FL,33850.0,metro pcs,33850,105,0.0,-81.729591087,28.0951405659,105.0
2245,The Peacocks Plume,The Peacocks Plume Company,1094 Bloomingdale Avenue,Valrico,FL,33596.0,the peacocks plume,33596,1094,7.0,-82.2666201944,27.8937053376,1094.0
2246,"Florida Reference Laboratory, Inc.","FLORIDA REFERENCE LABORATORY, INC.",4278 SW 71 Ave,Miami,FL,33155.0,florida reference laboratory inc,33155,4278,31.0,-80.1886315611,25.8160411608,4278.0
2247,La Giraldilla Restaurant,"H & V Vilarino, Inc.",4292 SW 152 Av,Miami,FL,33185.0,la giraldilla restaurant,33185,4292,31.0,-80.4396932896,25.7272549209,4292.0
2248,Commercial Metal Buildings Services Corp.,Commercial Metal Building Services Corp.,972 West Prospect Road,Fort Lauderdale,FL,33309.0,commercial metal buildings services corp,33309,972,10.0,-80.1556881787,26.1809854139,972.0
2249,Vencell Cargo,"Vencell Coordinadora Cargo, Corp.",8290 NW 64 Street,Miami,FL,33166.0,vencell cargo,33166,8290,25.0,-80.3317706515,25.831582368,8290.0
2250,APC Painting Corp,A P C Painting Corporation,5685 E 2 Ave,Hialeah,FL,33013.0,apc painting corp,33013,5685,20.0,-80.2788054831,25.8741469414,5685.0
2251,"Presto Dry Cleaners, Inc",Presto Dry Cleaners Inc,"1300 Coral Way, Suite # 102",Miami,FL,33129.0,presto dry cleaners inc,33129,1300,6.0,-80.2137167887,25.751178248,1199.0
2252,Ajilon Legal Staffing,Ajilon Professional Staffing LLC,1200 South Pine Island Road,Fort Lauderdale,FL,33324.0,ajilon legal staffing,33324,1200,13.0,-80.2632724851,26.1072120179,1200.0
2253,Quality Inn,"B. D. Mars, Inc.",3455 SW Williston Road,Gainesville,FL,32608.0,quality inn,32608,3455,7.0,-82.3564449796,29.6131338593,2399.0
2254,Ichiban Sushi,"Ichiban Sushi, Inc.","4401 NW 25th Place, Suite J",Gainesville,FL,32606.0,ichiban sushi,32606,4401,0.0,-82.3884664116,29.6766139649,4401.0
2255,"Circle B of Ocala, Inc.","Circle B of Ocala, Inc.",1031 N Pine Ave.,Ocala,FL,34475.0,circle b of ocala inc,34475,1031,2.0,-82.141752864,29.1997365632,1031.0
2256,Picasso Pavers,Picasso Pavers LLC,2420 NW 66th Ct.,Gainesville,FL,32653.0,picasso pavers,32653,2420,0.0,-82.3570637526,29.7176969085,2420.0
2257,"Propane USA Distribution LLC, et al",Propane USA / Blue Gas / All Keys Gas,1900 Banks Road,Margate,FL,33063.0,propane usa distribution llc et al,33063,1900,0.0,-80.194429881,26.2535292798,1900.0
2258,Tri-County Towing,Tri-County Automotive & Towing,3345 Okeechobee Road,Fort Pierce,FL,34947.0,tri-county towing,34947,3345,0.0,-80.3594997409,27.4303817963,3345.0
2259,Team Enterprises,"Team Enterprises, LLC",110 E Broward Blvd. Suite 2450,Fort Lauderdale,FL,33301.0,team enterprises,33301,110,0.0,-80.1423988341,26.1221805774,110.0
2260,El Potro Mexican Restaurant,"EL POTRO MEXICAN RESTAURANT #E-1, INC.",5871 University Boulevard West,Jacksonville,FL,32216.0,el potro mexican restaurant,32216,5871,0.0,-81.6057872966,30.2750546318,5871.0
2261,McDonald's,"M. Lisante Enterprises, Inc.",116 E. State Road 200,Yulee,FL,32097.0,mcdonalds,32097,116,52.0,-81.5751771198,30.6299512821,463500.0
2262,Hungry Howie's Pizza & Subs,"Universal Restaurant Holdings, Inc.","5306 Cortez Rd. West, Suite 4",Bradenton,FL,34210.0,hungry howies pizza & subs,34210,5306,15.0,-82.6615483687,27.4618252445,9900.0
2263,Torreya Grill,"GN Koikos, Inc.",2971 Apalachee Parkway,Tallahassee,FL,32308.0,torreya grill,32308,2971,1.0,-84.2286930125,30.4271703556,2971.0
2264,Associates in Family Practice of Broward,Associates in Family Practice of Broward,4801 S. University Drive,Davie,FL,33328.0,associates in family practice of broward,33328,4801,0.0,-80.2521427312,26.0636683585,4801.0
2265,Best Western Deerfield Beach Hotel & Suites,"Deerfield Beach Hotel Holdings, Inc.",1050 E. Newport Central Drive,Deerfield Beach,FL,33442.0,best western deerfield beach hotel & suites,33442,1050,30.0,-80.1231449808,26.3046166448,1050.0
2266,Coastal Floors and Granite,CF Center LLC,2525-2 SE Federal Hwy,Stuart,FL,34994.0,coastal floors and granite,34994,2525-2,0.0,-80.2359475525,27.1771968766,2525.0
2267,"Eastern Waste Systems, Inc.","Eastern Waste Systems, Inc.",1660 NW 19th Avenue,Pompano Beach,FL,33069.0,eastern waste systems inc,33069,1660,0.0,-80.1494648449,26.2510171796,1660.0
2268,Classic Store & More,"CSH Mini Management, Inc.",424 CCSW,Tallahassee,FL,32304.0,classic store & more,32304,424,40.0,-83.7805752454,30.6520705556,424.0
2269,"JBJ Building Maintenance, LLC","JBJ Building Maintenance, LLC",901 W Bellamy Drive,Quincy,FL,32351.0,jbj building maintenance llc,32351,901,4.0,-84.5858542445,30.5972910734,618.0
2270,Center Point Health and Rehab,"Centre Pointe Health and Rehab Center, LLC",2255 Centerville Road,Tallahassee,FL,32308.0,center point health and rehab,32308,2255,0.0,-84.2395231999,30.4766298871,2255.0
2271,Bianca Pizza and Pasta,"Bianca Pizza and Pasta, Inc.",2790 West Tennessee Street,Tallahassee,FL,32301.0,bianca pizza and pasta,32301,2790,9.0,-84.2896398969,30.4446018407,599.0
2272,Sunshine Auto,"Sunshine Auto, Inc.",3124 W Tennessee Street,Tallahassee,FL,32304.0,sunshine auto,32304,3124,0.0,-84.3457202415,30.4566253332,3124.0
2273,Scoreboard Sportsbar and Grille,Coastal Entertainment Inc.,1214 Siebert Drive,Fort Walton Beach,FL,32548.0,scoreboard sportsbar and grille,32548,1214,0.0,-86.596880837,30.3995255726,1214.0
2274,Mi Casita,Alarcon and Sons Corporation,1674 SE Port St Lucie Blvd,Port Saint Lucie,FL,34952.0,mi casita,34952,1674,4.0,-80.300856334,27.2711329741,1674.0
2275,Scratch Cakes,Scratch Cakes Bakery and Restaurant LLC,1085 Sopchoppy Hwy,Sopchoppy,FL,32358.0,scratch cakes,32358,1085,7.0,-84.4750239995,30.0606661685,1913.0
2276,Midas Auto Service - West Palm Beach,"ABC Automotive Repairs of West Palm , Inc.",2253 N. Military Trail,West Palm Beach,FL,33409.0,midas auto service - west palm beach,33409,2253,11.0,-80.1110543772,26.7105579889,2253.0
2277,Highway 19 Gas & Grill,"Highway 19 Gas & Grill, Inc.","1111 U.S. Highway 19, North",Perry,FL,32347.0,highway 19 gas & grill,32347,1111,17.0,-83.5997716923,30.1308721852,1111.0
2278,Harry A's,"LOLAQ, LLC (PPK, Inc.)",28 West Bay Shore Drive,Apalachicola,FL,32329.0,harry as,32329,28,13.0,-84.8823669915,29.7630739158,28.0
2279,Golden Lariat Western Shop and Station,Golden Lariat Western Shop and Station,1353 Hwy 69,Grand Ridge,FL,32442.0,golden lariat western shop and station,32442,1353,15.0,-85.0390484161,30.6629148035,1353.0
2280,3H Communications,"3H Communications, Inc.",3525 NW 17 Ave,Miami,FL,33142.0,3h communications,33142,3525,20.0,-80.2237495431,25.8088439648,3525.0
2281,"Intech Printing & Direct Mail, Inc.","Naples Graphics & Printing, Inc.",4408 Corporate Square,Naples,FL,34104.0,intech printing & direct mail inc,34104,4408,0.0,-81.7582265506,26.1551797598,4408.0
2282,McDonald's Restaurant,"Branty Enterprises, Inc.",11130 Lem Turner Road,Jacksonville,FL,32218.0,mcdonalds restaurant,32218,11130,0.0,-81.6973924918,30.4374370446,11130.0
2283,Volk Electric,"Volk Electric, Inc.",2215 NE 10th Terr #102,Cape Coral,FL,33909.0,volk electric,33909,2215,7.0,-81.943884274,26.6708472687,1598.0
2284,"Commonwealth Home Health Care, Inc.","Commonwelath Home Health Care, Inc.","6352 NW18th Dr, Suite 4",Gainesville,FL,32653.0,commonwealth home health care inc,32653,6352,74.0,-82.3695576218,29.7131845695,6352.0
2285,Safe Haven Services,"Safe Haven Services, Inc.",9031 SE 88th St.,Ocala,FL,34472.0,safe haven services,34472,9031,23.0,-82.0046158017,29.0945672218,8990.0
2286,American Rent,America Rent Cars Systems Corp.,2801-B NW 42nd Avenue,Miami,FL,33142.0,american rent,33142,2801-B,14.0,-80.2644156461,25.8078886082,3495.0
2287,Waterside Shops,"Forbes Properties-Orlando, LLC",5415 Tamiami Trail North,Naples,FL,34108.0,waterside shops,34108,5415,10.0,-81.8005527845,26.2128353127,5415.0
2288,Fort Drum Service Plaza,"Areas USA FLTP, LLC",5301 Blue Lagoon Drive,Miami,FL,33126.0,fort drum service plaza,33126,5301,0.0,-80.2831140993,25.7819439037,5301.0
2289,"DDP Holdings, LLC","DDP Holdings, LLC",441 Apollo Beach Blvd,Apollo Beach,FL,33572.0,ddp holdings llc,33572,441,0.0,-82.3993133711,27.77433982,441.0
2290,Five Guys of Sarasota,"Tamiami Burgers, Inc.",8447 Cooper Creek Boulevard,University Park,FL,34201.0,five guys of sarasota,34201,8447,13.0,-82.4559171121,27.3896921943,8447.0
2291,Tuffy Automotive,"B & B Tire of Fowler, Inc.",5105 E Fowler Avenue #A,Tampa,FL,33617.0,tuffy automotive,33617,5105,0.0,-82.399663509,28.0543398312,5105.0
2292,The Brain Fitness Centers of Florida,"Brain Fitness Centers of Florida, LLC",3253 McMullen Booth Road #200,Clearwater,FL,33761.0,the brain fitness centers of florida,33761,3253,12.0,-82.7089664202,28.0405128438,3253.0
2293,U.C.P./ Golden Glades Group Home #3,"UNITED CEREBRAL PALSY ASSC. OF MIAMI, INC.",16521 NW 1st Ave,Miami,FL,33169.0,ucp/ golden glades group home #3,33169,16521,12.0,-80.2021790172,25.9263635721,16521.0
2294,United Cerebral Palsy Memorial Group Home#2,"UNITED CEREBRAL PALSY ASSC. OF MIAMI, INC.",13633 Memorial Hwy,Miami,FL,33169.0,united cerebral palsy memorial group home#2,33169,13633,18.0,-80.2015737711,25.9130284824,15001.0
2295,UNITED CEREBRAL PALSY EARLY BEGINNINGS ACADEM,"UNITED CEREBRAL PALSY ASSOCIATION OF MIAMI, I",985  N.  W.  91st  St,Miami,FL,33150.0,united cerebral palsy early beginnings academ,33150,985,41.0,-82.9337051918,29.965741832,985.0
2296,"Drug Place, Inc.","Drug Place, Inc.",2201 W. Sample Rd,Pompano Beach,FL,33073.0,drug place inc,33073,2201,9.0,-80.1540772493,26.2746074126,2201.0
2297,Steele Truck Center,"Steele Truck Center, Inc.",2150 Rockfill Rd,Fort Myers,FL,33916.0,steele truck center,33916,2150,0.0,-81.8300035028,26.6411723771,2150.0
2298,A Step Ahead Enrichment Center,"A Step Ahead Enrichment Center, Inc.",21805 W. Newberry Rd.,Newberry,FL,32669.0,a step ahead enrichment center,32669,21805,6.0,-82.6246693854,29.6457740683,26701.0
2299,"Landscape Professionals, Inc","Landscape Professionals, Inc",5875 Mining Terrace,Jacksonville,FL,32257.0,landscape professionals inc,32257,5875,0.0,-81.567057766,30.1844686508,5875.0
2300,American Tech Supply,American Tech Supply Inc,10870 49th St. N,Clearwater,FL,33762.0,american tech supply,33762,10870,13.0,-82.700144767,27.8713258855,10859.0
2301,Nebraska Shell Inc,Nebraska Shell Inc,902 E Hillsborough Ave.,Tampa,FL,33604.0,nebraska shell inc,33604,902,0.0,-82.4511396501,27.9961612498,902.0
2302,Aa Top Shop,"AA Top Shop, Inc.",4034 N Davis Hwy,Pensacola,FL,32503.0,aa top shop,32503,4034,0.0,-87.2231503007,30.4572059889,4034.0
2303,Smoothie Junction,JGMY LLC dba Smoothie Junction,5717 Gunn Hway #6,Tampa,FL,33625.0,smoothie junction,33625,5717,8.0,-82.542522753,28.061637785,5717.0
2304,Joey D's Chicago Style Eatery,Joey D's Chicago Style Eatery Inc,4304 14th Street W,Bradenton,FL,34205.0,joey ds chicago style eatery,34205,4304,6.0,-82.5755071803,27.4656123182,4304.0
2305,"Al's Pizza, Inc","Al's Pizza, Inc.",14286-31 Beach Blvd,Jacksonville Beach,FL,32250.0,als pizza inc,32250,14286-31,6.0,-81.4398068579,30.2878017962,14286.0
2306,Village Inn,Mike Titze Co.,5170 North 9th Ave,Pensacola,FL,32504.0,village inn,32504,5170,0.0,-87.2108381253,30.4755357161,5170.0
2307,Gloria's Mattress Kingdom,"GLO 2, LLC",1310 W. 15th Street,Panama City,FL,32401.0,glorias mattress kingdom,32401,1310,0.0,-85.6812230156,30.1753917774,1310.0
2308,"St. Pete/Clearwater Airport Associates, LLC",Holiday Inn - St. Petersburg/Clearwater,3535 Ulmerton Road,Clearwater,FL,33760.0,st pete/clearwater airport associates llc,33760,3535,13.0,-82.6825684218,27.8939432403,3535.0
2309,Babe's South,Gulf Coast Capital,4024 N. Davis Hwy.,Pensacola,FL,32503.0,babes south,32503,4024,0.0,-87.2231374287,30.457099925,4024.0
2310,Los Avina Restaurant,"El Patio Mexican Restaurant, Inc.",15 NE 2nd Ave,High Springs,FL,32643.0,los avina restaurant,32643,15,2.0,-82.595982412,29.8277832969,2.0
2311,"Bagley Trucking, Inc.","Bagley Trucking, Inc.",26691 County Road 49,Branford,FL,32008.0,bagley trucking inc,32008,26691,25.0,-82.8606937229,29.9615069278,26691.0
