,Unnamed: 0,trade_nm,legal_name,street_addr_1_txt,cty_nm,st_cd,zip_cd,nname,nzip,snum,rating,lat,lon,stnum
31,521,Castle Court ALF,Castle Court ALF,9709 N. Nebraska Ave.,Tampa,FL,33612.0,castle court alf,33612,9709,0.0,-82.4511330853333,28.037652748209,9709.0
32,551,Dunkley Stucco,"Dunkley Stucco, Inc,","1130 E Donegan, Suite 6",Kissimmee,FL,34744.0,dunkley stucco,34744,1130,20.0,-80.8270455931863,28.6320392982316,1130.0
33,606,Crossroads American Grill,"Galanos Food Services, Inc.",385 US Highway 41 Bypass North,Venice,FL,34292.0,crossroads american grill,34292,385,100.0,-82.4687821873207,27.2305172721194,
34,607,Phillips Wholesale Consultants,"Phillips Wholesale Consultants, Inc.",2402 N. Market Street,Jacksonville,FL,32206.0,phillips wholesale consultants,32206,2402,2.0,-81.6507224807729,30.352137975553,2402.0
35,612,Sunshine Day Care Center,Sunshine Day Care Center,1336 S. 14th Street,Fernandina Beach,FL,32034.0,sunshine day care center,32034,1336,2.0,-81.450683637821,30.6871399579948,1336.0
36,613,Thompson's Day Care,Thompson's Day Care,216 S. 13th Street,Fernandina Beach,FL,32034.0,thompsons day care,32034,216,0.0,-81.4533857762926,30.6673316797098,216.0
37,618,Rick Elliott,"Rick Elliott, Inc.",1667 Palm Beach Drive,Apopka,FL,32712.0,rick elliott,32712,1667,0.0,-81.4778737136411,28.6997487175142,1667.0
38,619,"Gonzalez, Marcelo, Sr., FLC","Gonzalez Brothers Harvesting, Inc.",37318 Branch Avenue,Dade City,FL,33525.0,gonzalez marcelo sr flc,33525,37318,1.0,-82.1979236561012,28.3825070308857,37318.0
39,640,Lane's Vinyl & Trim,Lane's Vinyl & Trim,4003 Pace Road,Milton,FL,32571.0,lanes vinyl & trim,32571,4003,6.0,-87.156862958397,30.6038441485662,4003.0
40,651,Grannies Restaurant,JSW Foods LLC,514 US Hwy 41 S,Ruskin,FL,33570.0,grannies restaurant,33570,514,34.0,-82.4340153001977,27.7149055482297,514.0
41,654,ACI Facilities Maintenance,ACI Facilities Maintenance Inc,3830 Gunn Hwy,Tampa,FL,33618.0,aci facilities maintenance,33618,3830,10.0,-82.5083904917769,28.0388257707334,3830.0
42,663,Dr. Joseph L.Torres,"FLORIDA SPORTS AND FAMILY HEALTH CENTER, P.A.",309 West Bass Street,Kissimmee,FL,34741.0,dr joseph ltorres,34741,309,0.0,-81.4072319239064,28.2989349607884,309.0
43,676,"Dr. Sanjay Navadia, MD","Hernado Pasco Primary Care, LLC","11373 Cortez Boulevard, Ste 206",Brooksville,FL,34613.0,dr sanjay navadia md,34613,11373,10.0,-82.536858477431,28.5329020195324,11373.0
44,680,Wholly Smokes Bar-B-Que Restaurant,"B.J.C.K., Inc.",6803 N. Armenia Ave,Tampa,FL,33604.0,wholly smokes bar-b-que restaurant,33604,6803,0.0,-82.4842713516857,28.009710538054,6803.0
45,692,Tradesmen International Operations & Control,"Tradesmen International, Inc.",Building M7-355,Kennedy,FL,32815.0,tradesmen international operations & control,32815,Building M7-355,,,,
46,733,Rainforest Cafe,"Landry's Restaurant, Inc.","12801 W. Sunrise Blvd, #315",Fort Lauderdale,FL,33323.0,rainforest cafe,33323,12801,12.0,-80.3225288006031,26.1445379384323,12801.0
47,735,County Line Animal Hospital,"Crittervet, Inc.",15240 County Line Rd,Hudson,FL,34667.0,county line animal hospital,34667,15240,6.0,-82.637890796026,28.43375663831,
48,736,Vanguard Cleaning Systems of Tampa,At Your Team Enterprises Inc.,12108 N. 56th St.  Suite D,Tampa,FL,33617.0,vanguard cleaning systems of tampa,33617,12108,10.0,-82.3938237689971,28.0574793900311,12108.0
49,741,Dollar Store,The Dollar Store,"12801 W Sunrise Blvd, #935",Sunrise,FL,33323.0,dollar store,33323,12801,0.0,-80.3225288006031,26.1445379384323,12801.0
50,742,BrandsMart USA,Interbond,12801 W Sunrise Blvd,Sunrise,FL,33323.0,brandsmart usa,33323,12801,0.0,-80.3225288006031,26.1445379384323,12801.0
51,743,CLAIRE'S ACCESSORIES,CLAIRE'S ACCESSORIES,11401 N W 12th STREET,Miami,FL,33172.0,claires accessories,33172,11401,22.0,-84.6756604219864,29.8553205974728,
52,758,Mike Newbern A/C,Mike Newbern A/C Contractor Inc,1136  Berkley Rd,Auburndale,FL,33823.0,mike newbern a/c,33823,1136,6.0,-81.818345043604,28.111024903294,1200.0
53,759,Bay Tree Lakeside,Taterik Properties LLC,6411 46th Ave North,Saint Petersburg,FL,33709.0,bay tree lakeside,33709,6411,13.0,-82.7252605636597,27.8137405753099,6411.0
54,783,Lake Nona Golf and Country Club,"Lake Nona Management Company, LLC",9100 Chiltern Dr,Orlando,FL,32827.0,lake nona golf and country club,32827,9100,0.0,-81.264465412848,28.4150854538529,9100.0
55,793,Walden Lakes Car Wash & Auto Service,"AFT Car Wash, LLC",1414 S Alexander,Plant City,FL,33563.0,walden lakes car wash & auto service,33563,1414,10.0,-82.137708309054,28.0027887555998,1414.0
56,795,El Paraiso Cafe,El Paraiso Cafe,4112 E 7th Ave,Tampa,FL,33605.0,el paraiso cafe,33605,4112,0.0,-82.4124147230564,27.9602847004724,4112.0
57,809,SE Cline Construction,"S.E. Cline Construction, Inc.",18 Utility Drive,Palm Coast,FL,32137.0,se cline construction,32137,18,0.0,-81.2124380003647,29.5470622362543,18.0
58,811,5 A Harvesting Co.,5 A Harvesting Co.,887 A Road,Labelle,FL,33935.0,5 a harvesting co,33935,887,0.0,-81.4240877098457,26.7071812727495,887.0
59,827,Tri-County Veterinarians,"Fred Springer DVM, P.A.",5965 SR 207,Elkton,FL,32033.0,tri-county veterinarians,32033,5965,53.0,-82.0851770416499,27.3039328716763,
60,840,"Hallmark Nameplate, Inc","Hallmark Nameplate, Inc.",1717 Lincoln Ave,Mount Dora,FL,32757.0,hallmark nameplate inc,32757,1717,0.0,-81.6267885660553,28.8078024008023,1717.0
61,855,Waters Cleaning of Sarasota,"L & L Services of Sarasota, Inc.",1858 University Parkway,Sarasota,FL,34243.0,waters cleaning of sarasota,34243,1858,12.0,-82.5243810081569,27.3885692719354,2246.0
62,862,"E & A Cleaning, Inc.","E & A Cleaning, Inc.",529 W. Brannen Road,Lakeland,FL,33813.0,e & a cleaning inc,33813,529,14.0,-81.9633359352633,27.9615632402454,529.0
63,869,Barnhill's Buffet,"Barnhill's Buffet of Tennessee, Inc.",100 Live Oaks Blvd.,Casselberry,FL,32707.0,barnhills buffet,32707,100,10.0,-81.3444262283875,28.6644677396481,100.0
64,878,Andre Joseph,Andre Joseph,1546 Meridan Road,West Palm Beach,FL,33417.0,andre joseph,33417,1546,31.0,-80.1338130888649,26.700723418462,1546.0
65,886,L & E International,L & E International  Services  Inc.,2900 West 84th Street,Hialeah,FL,33018.0,l & e international,33018,2900,0.0,-80.3431243150946,25.8973812649424,2900.0
66,900,Ace Septic Tank Service,"Ace Septic Tank Service, Inc.",3551 E. Hartley Court,Hernando,FL,34442.0,ace septic tank service,34442,3551,0.0,-82.3753719023236,28.8956555061771,3551.0
67,919,Safe Harbor Animal Sanctuary & Hospital,The Humane Society of Greater Jupiter/Tequest,185 E. Indiantown Road,Jupiter,FL,33477.0,safe harbor animal sanctuary & hospital,33477,185,0.0,-80.0909242394984,26.9341733915953,185.0
68,935,"Cushion Solutions, Inc.",Cushion Solutions Incorporated,802  N. Rome Ave,Tampa,FL,33606.0,cushion solutions inc,33606,802,0.0,-82.4768604867826,27.9505668019447,802.0
69,992,"Orange Co., LP - AGER","Orange Co., LP",12010 NE Highway 70,Arcadia,FL,34266.0,orange co lp - ager,34266,12010,29.0,-81.8596481340657,27.2162813791083,12.0
70,1016,Precision Office Cleaning,"Precision Office Cleaning, LLC",P. O. Box 7351,Lakeland,FL,33807.0,precision office cleaning,33807,P. O. Box 7351,100.0,-82.1164066139949,27.9927361265392,
71,1026,The Cracked Egg,"The Cracked Egg of Weeki Wachee, Inc.",4670 Commercial Way,Brooksville,FL,34604.0,the cracked egg,34604,4670,10.0,-82.5952626554696,28.4954648205079,4670.0
72,1034,Maid Pro,"Republic Enterprise Systems, Inc.",1422 E. Fletcher Avenue,tampa,FL,33612.0,maid pro,33612,1422,16.0,-82.4392488117544,28.0693477196668,1800.0
73,1038,Julio's Natural Food Emporium,Julio's Natural Food Emporium LLC,1602 NE Miami Gardens Dr,Miami,FL,33179.0,julios natural food emporium,33179,1602,11.0,-80.1685706356008,25.9459130743589,1593.0
74,1039,Publix,"Publix Super Markets, Inc.",15880 Summerlin,Fort Myers,FL,33908.0,publix,33908,15880,25.0,-81.9537335223942,26.4941482641528,18590.0
75,1042,Pier Restaurant,"Charles Meyers Enterprises, Inc.",215 South A1A,Flagler Beach,FL,32136.0,pier restaurant,32136,215,2.0,-81.1270181072346,29.4804728171642,215.0
76,1044,Jolli Mons Grill Restaurant,"Beach Fire, Inc & Steven D Stagmer (a person)",941 Huntley Avenue,Dunedin,FL,34698.0,jolli mons grill restaurant,34698,941,0.0,-82.7890889360373,28.0146379317548,941.0
77,1045,Fisher Cabinets Company,"Fisher Cabinet Company, L,L.C.",2475 Interstate Circle,Pensacola,FL,32526.0,fisher cabinets company,32526,2475,0.0,-87.3081255637441,30.515849399857,2475.0
78,1046,Bickett Farms - AGER,Bickett Farms,8596 NW CR 661,Arcadia,FL,34266.0,bickett farms - ager,34266,8596,29.0,-81.5739777409862,29.7595943675291,
79,1055,Tomoka Oaks Golf and Country Club,RTH Inc,20 Tomoka Oaks Blvd,Ormond Beach,FL,32174.0,tomoka oaks golf and country club,32174,20,0.0,-81.0898223318855,29.29397733031,20.0
80,1056,Centro Peruano Arequipeo Restaurant,"Centro Peruano Arequipeno, Inc",2300 SW 8th Street,Miami,FL,33135.0,centro peruano arequipeo restaurant,33135,2300,6.0,-80.2482608842182,25.7648032543084,3200.0
81,1059,Plantation Housing Corporation,Plantation Housing Corporation,2425 Sadler Road,Fernandina Beach,FL,32034.0,plantation housing corporation,32034,2425,0.0,-81.4409601822997,30.6392985932449,2425.0
82,1093,Jani King #333,Andres & Olga Bermudez,8374 Market St.,Bradenton,FL,34203.0,jani king #333,34203,8374,17.0,-85.6429385858327,30.2885778286654,
83,1130,Mighty Mushroom Pizzeria & Grill,"Might Mushroom, Inc.",2400 Dairy Road,Melbourne,FL,32904.0,mighty mushroom pizzeria & grill,32904,2400,5.0,-80.6380287658289,28.073308105794,2400.0
84,1137,"CRJ Management Services, Inc.","CRJ Management Services, Inc.",12 Miracle Stripe Hwy Ste 203,Fort Walton Beach,FL,32548.0,crj management services inc,32548,12,37.0,-86.6116751122747,30.4052606645858,12.0
85,1141,Mi Peru Restaurant,Mi Peru Trading Company,1760 NE Miami Gardens Drive,Miami,FL,33179.0,mi peru restaurant,33179,1760,9.0,-80.1687220554338,25.9456913277499,1760.0
86,1186,William King,WIlliam King,785 Phillips Way,Haines City,FL,33844.0,william king,33844,785,0.0,-81.6108147887703,28.0574647381911,785.0
87,1199,"Nova Surveyor, Inc.","Nova Surveyor, Inc.","5582 N.W. 7 Street, Suite 202",Miami,FL,33126.0,nova surveyor inc,33126,5582,39.0,-87.2530784538995,30.466762308981,5582.0
88,1207,Papa John's Pizza,"L-N-W Pizza, Inc",10344 W. Sample Rd,Coral Springs,FL,33065.0,papa johns pizza,33065,10344,0.0,-80.2641046805858,26.2725428511342,10344.0
89,1220,"Berry Patches, Inc.","Berry Patches, Inc.",5807 Downing St.,Dover,FL,33527.0,berry patches inc,33527,5807,8.0,-82.2223183421522,27.9924907542705,13987.0
90,1227,Sandbar Grill,"Etyet, Inc.",2602 Bayshore Blvd,Dunedin,FL,34698.0,sandbar grill,34698,2602,0.0,-82.7803899428295,28.0494935024481,2602.0
91,1228,Meerkat Underground Cable System,Meerkat Underground Cable System,2225 E. 1031 FP Ave,Tampa,FL,33612.0,meerkat underground cable system,33612,2225,71.0,-81.8921169177313,30.2333748113611,2225.0
92,1229,Dr. Lorena Lavarne,"Dr. Lorena Lavarne & Associates, P.A.",1872 South Tamiami Trail; Suite E,Venice,FL,34293.0,dr lorena lavarne,34293,1872,19.0,-80.7449021749756,28.3878924775814,1872.0
93,1230,Florida Chemical,Florida Chemical,6810 E. Chelsea St.,Tampa,FL,33610.0,florida chemical,33610,6810,6.0,-82.402629693797,27.9852522520664,5142.0
94,1238,Ancient City Veterinary Hospital,"Fred Springer DVM, P.A.",1967 Old Moultrie Road,Saint Augustine,FL,32086.0,ancient city veterinary hospital,32086,1967,4.0,-81.3268409585934,29.8655845691113,1967.0
95,1282,BJS Wholesale Club,"BJ'S WHOLESALE CLUB, INC.",7007 SW 117th Ave,Miami,FL,33183.0,bjs wholesale club,33183,7007,6.0,-80.3821192589334,25.7024301865962,7007.0
96,1340,Scenic Hills Country Club,The Fairways Group L.P.,8891 Burning Tree Rd.,Pensacola,FL,32514.0,scenic hills country club,32514,8891,9.0,-87.2366549691886,30.5429010339086,8891.0
97,1341,Perdido Bay Golf Club,"Perdido Bay Golf, LLC",1 Doug Ford Drive,Pensacola,FL,32507.0,perdido bay golf club,32507,1,0.0,-87.4220679054929,30.3284458442773,1.0
98,1346,Pretzel Time,"JCT Future, LLC",8021 Citrus Town Center Mall,Tampa,FL,33625.0,pretzel time,33625,8021,85.0,-82.578877914363,28.070167230666,12901.0
99,1352,Hi Tech Pool and Solar,Hi-Tech Pool & Solar LLC,2208 Summersweet Drive,Alva,FL,33920.0,hi tech pool and solar,33920,2208,81.0,-81.9040636834052,26.5537344429975,8800.0
100,1360,PRICE CHOICE,JYMD FOOD CORP,4500 NW 183rd ST,Miami,FL,33055.0,price choice,33055,4500,8.0,-80.2742399334662,25.9397448732861,4500.0
101,1362,Westport Properties/US Storage Center,,2771 W. 76 St,Hialeah,FL,33016.0,westport properties/us storage center,33016,2771,20.0,-80.3393329588292,25.8915935682823,2771.0
102,1365,Perricone's Marketplace Restaurant,"La Cucina Management, Inc.",15 SE 10th Street,Miami,FL,33131.0,perricones marketplace restaurant,33131,15,0.0,-80.192673941911,25.7645791817146,15.0
103,1366,KITCHEN TM SYSTEM,TM SYSTEMS LLC,"1550 Biscayne Blvd, 3rd Floor",Miami,FL,33132.0,kitchen tm system,33132,1550,100.0,-80.4136297988983,25.4837488203095,
104,1368,True Treasures,"True Treasures, Inc.","1201 U.S. Hwy One, Suite #15",Palm Beach Gardens,FL,33408.0,true treasures,33408,1201,44.0,-87.10023638036,30.3411384958201,
105,1385,Don Pan,"Don Pan Kendall 137, Inc.",13758 SW 88th Street,Miami,FL,33186.0,don pan,33186,13758,14.0,-80.4171824838884,25.6854199940516,13701.0
106,1400,Olvera Trucking (FLC),Olvera Trucking Corp.,P.O. Box 2569,Immokalee,FL,34143.0,olvera trucking (flc),34143,2569,100.0,-81.3359574308539,26.3381954014069,
107,1401,Margaret Mondragon FLC,Margaret A Mondragon,1125 Ave A West,Winter Haven,FL,33880.0,margaret mondragon flc,33880,1125,100.0,-81.813956722661,28.0872080423097,
108,1441,Outback Crab Shack At Six Mile,Six Mile Marina and Outback Crab Shack Inc,8155 County Road 13 N,Saint Augustine,FL,32092.0,outback crab shack at six mile,32092,8155,29.0,-81.5427187702494,29.9604337763452,8155.0
109,1442,"Design Center at The Avenues, LLC","Design Center at The Avenues, LLC","8999 Western Way, Suite 108",Jacksonville,FL,32256.0,design center at the avenues llc,32256,8999,0.0,-81.5675121536709,30.2207741312277,8999.0
110,1462,Bright Glow Candle Corp,Bright Glow Candle Corp,3645 NW 74th St,Miami,FL,33147.0,bright glow candle corp,33147,3645,7.0,-80.2574729841877,25.8414289475156,3645.0
111,1541,Armstrong Elevator Company,Armstrong Elevator Company,9225 Ulmerton Road,Largo,FL,33771.0,armstrong elevator company,33771,9225,0.0,-82.767567614655,27.8946202295847,9225.0
112,1543,"Sorel Rinvil, FLC","Sorel Rinvil, FLC",PO Box 2676,Belle Glade,FL,33430.0,sorel rinvil flc,33430,2676,100.0,-80.5504324116205,26.6394268613599,
113,1553,Lopez Drywall Inc.,"Lopez Drywall Finishing, Inc.",1250 Park Lane,North Fort Myers,FL,33903.0,lopez drywall inc,33903,1250,19.0,-80.0816514324121,26.8129807365819,
114,1555,Piminco Inc dba Meng Li's Asia Pacific Grille,"Piminco, Inc.",2601-41 South Military Trail,West Palm Beach,FL,33415.0,piminco inc dba meng lis asia pacific grille,33415,2601-41,9.0,-80.1128313957786,26.6386972833957,2601.0
115,1585,City of Clearwater,City of Clearwater,PO Box 4748,Clearwater,FL,33758.0,city of clearwater,33758,4748,100.0,-82.7812800689894,27.9801387757291,
116,1601,"Almanza, Pedro FLC","Almanza, Pedro",12865 89th St.,Fellsmere,FL,32948.0,almanza pedro flc,32948,12865,6.0,-80.6421423216018,27.7587116112496,14901.0
117,1615,"Barajas Torres, Ramiro - FLC","Barajas Torres Harvesting, Inc.",175 Lake Pearl Drive,Lake Placid,FL,33852.0,barajas torres ramiro - flc,33852,175,0.0,-81.3633204602769,27.2866404042671,175.0
118,1646,"Elite Modeling Management, Inc.","Elite Modeling Management, Inc.","119 Washington Avenue, Suite 501",Miami Beach,FL,33139.0,elite modeling management inc,33139,119,0.0,-80.1348848500708,25.770750439882,119.0
119,1651,The Knife Restaurant (Hallandale),Carma LLC,602 E. Hallandale Beach Blvd,Hallandale,FL,33009.0,the knife restaurant (hallandale),33009,602,6.0,-80.1422859677347,25.9856467094351,602.0
120,1663,Florida State Metal Building Systems,"Florida State Metal Building Erectors, Inc.",9270 Bay Plaza Blvd. #608A,Tampa,FL,33619.0,florida state metal building systems,33619,9270,6.0,-82.3487868651595,27.9469183786598,9270.0
121,1671,Gold's gym,"Grades Enterprises, Inc.",499 NE Spanish River Blvd,Boca Raton,FL,33431.0,golds gym,33431,499,0.0,-80.0813189221757,26.3861022805781,499.0
122,1673,Hammer Construction,Hammer Construction Corp,2990 NW 40 St,Miami,FL,33142.0,hammer construction,33142,2990,20.0,-80.2453099589585,25.8116251252231,2990.0
123,1680,"Pensacola Wireless, Inc","Wilson Enterprises Corporation, Inc",116 Julia Way,Gulf Breeze,FL,32561.0,pensacola wireless inc,32561,116,0.0,-87.1755294984111,30.3647278267672,116.0
124,1718,"D&K Harvesting, Inc.","D&K Harvesting, Inc.",890 Spratt Blvd,Labelle,FL,33935.0,d&k harvesting inc,33935,890,38.0,-81.6409610932209,30.3291422623228,
125,1721,"Palafox, Roselio, FLC (Hotel)","Palafox, Roselio",6625 SW Miami Ave,Arcadia,FL,34266.0,palafox roselio flc (hotel),34266,6625,0.0,-81.8825908756001,27.1255417137173,6625.0
126,1737,The Main Street Bistro,"Global Attitude, LLC",1152 Main St.,Lady Lake,FL,32159.0,the main street bistro,32159,1152,10.0,-82.8623414967022,29.7551327667102,1152.0
127,1741,Frenchman's Reserve Country Club,"Frenchman's Reserve Country Club, Inc.",3370 Grande Corniche,Palm Beach Gardens,FL,33410.0,frenchmans reserve country club,33410,3370,0.0,-80.0927342170515,26.8629830396289,3370.0
128,1750,Welcome Home Design Center,"Welcome Home Design, Inc.",850 N. Apollo Blvd.,Melbourne,FL,32935.0,welcome home design center,32935,850,0.0,-80.6386560461487,28.1203605749966,850.0
129,1755,"Rapid Oil Change, Inc.","Rapid Oil Change, Inc.",14200 West Dixie Highway,North Miami,FL,33161.0,rapid oil change inc,33161,14200,5.0,-80.1800595650189,25.8983875616525,13398.0
130,1773,Stacked Burgers,Stacked I LLC,1617 W. Platt Street,Tampa,FL,33606.0,stacked burgers,33606,1617,0.0,-82.4759588865314,27.9418982571311,1617.0
131,1777,"Palmdale Locktending, Inc.","Palmdale Oil Company, Inc.",120 S. Parrot Ave,Okeechobee,FL,34974.0,palmdale locktending inc,34974,120,10.0,-80.8299996003051,27.2429256784847,120.0
132,1799,Taps & Tequila,"North Carolina LPV, LLC",1235 Central Ave,Saint Petersburg,FL,33705.0,taps & tequila,33705,1235,4.0,-82.6510920427394,27.7712307783389,1235.0
133,1800,Terry's Supply Company,Terry's Supply Company,6211 17th Street E,Bradenton,FL,34203.0,terrys supply company,34203,6211,0.0,-82.5434760813602,27.4305459670061,6211.0
134,1804,"L&L, LLC",L&L YACHT REFINISHING LLC,2548 NW 79 AVE,Pompano Beach,FL,33063.0,l&l llc,33063,2548,30.0,-80.2311563775224,26.2582161999823,2548.0
135,1807,"PlaneTechs - Lake City, FL","PlaneTechs, LLC",102 SE Academic Avenue,Lake City,FL,32025.0,planetechs - lake city fl,32025,102,9.0,-82.5707675452773,30.1745109705394,
136,1812,Solid Ground Concrete Pumping,"Solid Ground Concrete Pumping, Inc.","1073 Willa Springs Road, Ste. 1009",Winter Springs,FL,32708.0,solid ground concrete pumping,32708,1073,10.0,-81.2668849884024,28.6444295028802,1073.0
137,1834,Benedetto's,"Benedetto's Italia, Inc.",21529 Village Lakes Shopping Ctr. Drive,Lutz,FL,33549.0,benedettos,33549,21529,25.0,-82.4603051545008,28.1908306399582,21529.0
138,1898,The Knife Restaurant (Bayside),Carma Cinco LLC,401 Biscayne Blvd,Miami,FL,33132.0,the knife restaurant (bayside),33132,401,0.0,-80.1882187600767,25.7788355510555,401.0
139,1902,Keiser College,The Keiser School Inc.,1500 W. Commercial Blvd,Fort Lauderdale,FL,33309.0,keiser college,33309,1500,0.0,-80.1632334413533,26.1881687410589,1500.0
140,1903,Shoreside Travel / Nekton Diving / John Dixon,Nekton Diving / Stars Travel / Loggerhead,520 SE 32 St,Fort Lauderdale,FL,33316.0,shoreside travel / nekton diving / john dixon,33316,520,20.0,-80.1374622969745,26.0852576890643,520.0
141,1946,Beach Hotel Inc,"Beach Hotel, Inc.",8601 Harding Ave,Miami Beach,FL,33154.0,beach hotel inc,33154,8601,5.0,-80.1221362313471,25.872204112642,8701.0
